iteration	mean	std_dev	min	max	median
4720	66.342	2.540	61.703	70.805	66.525
4730	68.318	1.334	66.923	72.018	68.207
4740	74.315	3.848	69.584	82.364	72.640
4750	168.706	17.608	124.732	192.523	171.815
4760	121.777	25.814	86.790	167.196	116.854
4770	74.338	10.209	62.923	95.193	71.888
4780	59.715	1.600	57.220	61.991	59.576
4790	61.673	1.283	58.351	63.509	61.816
4800	59.751	1.649	56.997	62.236	60.011
4810	72.379	3.920	66.929	79.973	71.634
4820	71.771	6.018	66.640	89.300	70.296
4830	67.912	2.858	63.439	72.689	68.069
4840	45.587	2.059	41.953	48.339	46.386
4850	46.975	0.722	45.835	47.663	47.462
4860	48.354	0.120	48.093	48.555	48.366
4870	60.079	0.949	57.388	60.775	60.411
4880	58.286	2.171	56.195	61.839	57.136
4890	73.525	8.971	56.353	85.012	74.422
4900	69.805	2.096	65.594	72.754	69.499
4910	58.338	2.510	52.967	62.014	58.383
4920	69.446	5.064	57.909	76.538	70.764
4930	78.869	5.297	70.299	86.982	79.478
4940	90.183	4.783	81.349	98.802	89.901
4950	81.316	3.468	73.468	86.019	82.321
